timestamp_epoch,timestamp_iso,job_id,source_records_out_per_sec,filter_records_out_per_sec,source_busy_ms_per_sec,source_backpressure_ms_per_sec,source_idle_ms_per_sec,window_records_in_per_sec,window_records_out_per_sec,sink_csv_records_in_per_sec,window_busy_ms_per_sec,window_backpressure_ms_per_sec,window_idle_ms_per_sec
1782935176,2026-07-01T19:46:16Z,b67c1761bb7d782c0096e03e8d4a52cb,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0,1000.0000,0.0000,0.0000
1782935182,2026-07-01T19:46:22Z,b67c1761bb7d782c0096e03e8d4a52cb,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0,1000.0000,0.0000,0.0000
1782935187,2026-07-01T19:46:27Z,b67c1761bb7d782c0096e03e8d4a52cb,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0,0.0000,0.0000,1000.0000
1782935193,2026-07-01T19:46:33Z,b67c1761bb7d782c0096e03e8d4a52cb,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0,0.0000,0.0000,1000.0000
1782935199,2026-07-01T19:46:39Z,b67c1761bb7d782c0096e03e8d4a52cb,235.1333,140.3000,0.0000,0.0000,1000.0000,269.2667,4.6667,0.0,0.0000,0.0000,1000.0000
1782935204,2026-07-01T19:46:44Z,b67c1761bb7d782c0096e03e8d4a52cb,235.1333,140.3000,0.0000,0.0000,1000.0000,269.2667,4.6667,0.0,0.0000,0.0000,1000.0000
1782935210,2026-07-01T19:46:50Z,b67c1761bb7d782c0096e03e8d4a52cb,2410.3667,1419.5833,0.0000,0.0000,1000.0000,2848.0333,53.1667,0.0,0.0000,0.0000,1000.0000
1782935215,2026-07-01T19:46:55Z,b67c1761bb7d782c0096e03e8d4a52cb,2410.3667,1419.5833,0.0000,0.0000,1000.0000,2848.0333,53.1667,0.0,0.0000,0.0000,1000.0000
1782935221,2026-07-01T19:47:01Z,b67c1761bb7d782c0096e03e8d4a52cb,3866.9667,2264.2667,0.0000,0.0000,1000.0000,4532.8833,87.0833,0.0,0.0000,0.0000,1000.0000
1782935227,2026-07-01T19:47:07Z,b67c1761bb7d782c0096e03e8d4a52cb,3866.9667,2264.2667,0.0000,0.0000,1000.0000,4532.8833,87.0833,0.0,0.0000,0.0000,1000.0000
1782935232,2026-07-01T19:47:12Z,b67c1761bb7d782c0096e03e8d4a52cb,5331.9000,3139.5333,0.0000,0.0000,1000.0000,6287.6000,123.3333,0.0,0.0000,0.0000,1000.0000
1782935238,2026-07-01T19:47:18Z,b67c1761bb7d782c0096e03e8d4a52cb,5331.9000,3139.5333,0.0000,0.0000,1000.0000,6287.6000,123.3333,0.0,0.0000,0.0000,1000.0000
1782935244,2026-07-01T19:47:24Z,b67c1761bb7d782c0096e03e8d4a52cb,6743.6833,3978.2833,17.0000,0.0000,1000.0000,7979.5500,156.2500,0.0,0.0000,0.0000,1000.0000
1782935249,2026-07-01T19:47:29Z,b67c1761bb7d782c0096e03e8d4a52cb,6743.6833,3978.2833,17.0000,0.0000,1000.0000,7979.5500,156.2500,0.0,0.0000,0.0000,1000.0000
1782935255,2026-07-01T19:47:35Z,b67c1761bb7d782c0096e03e8d4a52cb,8734.6000,5152.8833,28.0000,0.0000,1000.0000,10355.6333,202.5000,0.0,0.0000,0.0000,1000.0000
1782935261,2026-07-01T19:47:41Z,b67c1761bb7d782c0096e03e8d4a52cb,8734.6000,5152.8833,28.0000,0.0000,1000.0000,10355.6333,202.5000,0.0,0.0000,0.0000,1000.0000
1782935266,2026-07-01T19:47:46Z,b67c1761bb7d782c0096e03e8d4a52cb,8731.6833,5163.4000,28.0000,0.0000,1000.0000,10357.7333,204.8333,0.0,0.0000,0.0000,1000.0000
1782935272,2026-07-01T19:47:52Z,b67c1761bb7d782c0096e03e8d4a52cb,8731.6833,5163.4000,28.0000,0.0000,1000.0000,10357.7333,204.8333,0.0,0.0000,0.0000,1000.0000
