window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1305, 33, 0.0604166667
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1305, 39, 0.0604166667
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1305, 40, 0.0604166667
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1305, 41, 0.0604166667
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1305, 41, 0.0604166667
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1305, 42, 0.0604166667
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2368, 81, 0.0939682540
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 239, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3277, 84, 0.1137847222
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 250, 0.1163888889
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 248, 0.2952777778
global, 2025-01-01 00:00:00, 2025-01-01 09:00:00, 4257, 103, 0.1313888889
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 207, 0.1701851852
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 196, 0.3244444444
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5189, 83, 0.1441388889
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 183, 0.2159259259
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 172, 0.2755555556
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 126, 0.2822222222
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 6130, 50, 0.1547979798
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 128, 0.2628240741
global, 2025-01-01 00:00:00, 2025-01-01 12:00:00, 7505, 51, 0.1737268519
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 133, 0.2974537037
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 132, 0.3188888889
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9034, 31, 0.1792460317
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 183, 0.2976851852
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 173, 0.2897222222
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9877, 76, 0.1959722222
6h, 2025-01-01 08:00:00, 2025-01-01 14:00:00, 6390, 271, 0.2958333333
1h, 2025-01-01 13:00:00, 2025-01-01 14:00:00, 1023, 268, 0.2841666667
global, 2025-01-01 00:00:00, 2025-01-01 15:00:00, 10869, 26, 0.2012777778
6h, 2025-01-01 09:00:00, 2025-01-01 15:00:00, 6277, 173, 0.2906018519
1h, 2025-01-01 14:00:00, 2025-01-01 15:00:00, 1055, 171, 0.2930555556
global, 2025-01-01 00:00:00, 2025-01-01 17:00:00, 12351, 73, 0.2018137255
global, 2025-01-01 00:00:00, 2025-01-01 17:00:00, 12351, 75, 0.2018137255
6h, 2025-01-01 10:00:00, 2025-01-01 16:00:00, 6244, 257, 0.2890740741
6h, 2025-01-01 11:00:00, 2025-01-01 17:00:00, 6271, 119, 0.2903240741
1h, 2025-01-01 15:00:00, 2025-01-01 16:00:00, 959, 255, 0.2663888889
1h, 2025-01-01 16:00:00, 2025-01-01 17:00:00, 1043, 116, 0.2897222222
global, 2025-01-01 00:00:00, 2025-01-01 18:00:00, 14041, 24, 0.2166820988
6h, 2025-01-01 12:00:00, 2025-01-01 18:00:00, 6157, 142, 0.2850462963
1h, 2025-01-01 17:00:00, 2025-01-01 18:00:00, 1034, 141, 0.2872222222
6h, 2025-01-01 13:00:00, 2025-01-01 19:00:00, 6160, 247, 0.2851851852
6h, 2025-01-01 14:00:00, 2025-01-01 20:00:00, 6025, 127, 0.2789351852
1h, 2025-01-01 18:00:00, 2025-01-01 19:00:00, 1046, 246, 0.2905555556
1h, 2025-01-01 19:00:00, 2025-01-01 20:00:00, 888, 126, 0.2466666667
global, 2025-01-01 00:00:00, 2025-01-01 20:00:00, 15511, 65, 0.2154305556
global, 2025-01-01 00:00:00, 2025-01-01 20:00:00, 15511, 67, 0.2154305556
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 55, 0.1633908046
6h, 2025-01-01 15:00:00, 2025-01-01 21:00:00, 5767, 229, 0.2669907407
6h, 2025-01-01 16:00:00, 2025-01-01 22:00:00, 5290, 170, 0.2449074074
6h, 2025-01-01 17:00:00, 2025-01-01 23:00:00, 4609, 123, 0.2133796296
6h, 2025-01-01 18:00:00, 2025-01-02 00:00:00, 3739, 107, 0.1731018519
6h, 2025-01-01 19:00:00, 2025-01-02 01:00:00, 2731, 102, 0.1264351852
6h, 2025-01-01 20:00:00, 2025-01-02 02:00:00, 1855, 101, 0.0858796296
6h, 2025-01-01 21:00:00, 2025-01-02 03:00:00, 1064, 100, 0.0492592593
6h, 2025-01-01 22:00:00, 2025-01-02 04:00:00, 587, 101, 0.0271759259
1h, 2025-01-01 21:00:00, 2025-01-01 22:00:00, 482, 164, 0.1338888889
1h, 2025-01-01 20:00:00, 2025-01-01 21:00:00, 797, 229, 0.2213888889
1h, 2025-01-01 22:00:00, 2025-01-01 23:00:00, 362, 116, 0.1005555556
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 62, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 64, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 65, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 66, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 68, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 69, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 71, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17058, 72, 0.1633908046
global, 2025-01-01 00:00:00, 2025-01-02 06:00:00, 18227, 80, 0.1687685185
global, 2025-01-01 00:00:00, 2025-01-02 07:00:00, 19808, 41, 0.1774910394
6h, 2025-01-02 01:00:00, 2025-01-02 07:00:00, 2063, 151, 0.0955092593
1h, 2025-01-02 06:00:00, 2025-01-02 07:00:00, 1326, 151, 0.3683333333
global, 2025-01-01 00:00:00, 2025-01-02 08:00:00, 21202, 35, 0.1840451389
6h, 2025-01-02 02:00:00, 2025-01-02 08:00:00, 3379, 179, 0.1564351852
1h, 2025-01-02 07:00:00, 2025-01-02 08:00:00, 1328, 179, 0.3688888889
global, 2025-01-01 00:00:00, 2025-01-02 10:00:00, 22757, 66, 0.1859232026
6h, 2025-01-02 03:00:00, 2025-01-02 09:00:00, 4659, 222, 0.2156944444
6h, 2025-01-02 04:00:00, 2025-01-02 10:00:00, 5720, 92, 0.2648148148
1h, 2025-01-02 08:00:00, 2025-01-02 09:00:00, 1286, 222, 0.3572222222
1h, 2025-01-02 09:00:00, 2025-01-02 10:00:00, 1066, 91, 0.2961111111
6h, 2025-01-02 05:00:00, 2025-01-02 11:00:00, 6833, 139, 0.3163425926
1h, 2025-01-02 10:00:00, 2025-01-02 11:00:00, 1117, 132, 0.3102777778
global, 2025-01-01 00:00:00, 2025-01-02 11:00:00, 24227, 62, 0.1922777778
global, 2025-01-01 00:00:00, 2025-01-02 11:00:00, 24227, 64, 0.1922777778
global, 2025-01-01 00:00:00, 2025-01-02 12:00:00, 25736, 52, 0.1985802469
6h, 2025-01-02 06:00:00, 2025-01-02 12:00:00, 7311, 173, 0.3384722222
1h, 2025-01-02 11:00:00, 2025-01-02 12:00:00, 1188, 172, 0.3300000000
global, 2025-01-01 00:00:00, 2025-01-02 14:00:00, 27370, 52, 0.2000730994
global, 2025-01-01 00:00:00, 2025-01-02 14:00:00, 27370, 53, 0.2000730994
6h, 2025-01-02 07:00:00, 2025-01-02 13:00:00, 7137, 213, 0.3304166667
6h, 2025-01-02 08:00:00, 2025-01-02 14:00:00, 6883, 83, 0.3186574074
1h, 2025-01-02 12:00:00, 2025-01-02 13:00:00, 1152, 213, 0.3200000000
1h, 2025-01-02 13:00:00, 2025-01-02 14:00:00, 1074, 82, 0.2983333333
global, 2025-01-01 00:00:00, 2025-01-02 15:00:00, 28944, 40, 0.2061538462
6h, 2025-01-02 09:00:00, 2025-01-02 15:00:00, 6691, 134, 0.3097685185
1h, 2025-01-02 14:00:00, 2025-01-02 15:00:00, 1094, 134, 0.3038888889
global, 2025-01-01 00:00:00, 2025-01-02 17:00:00, 30695, 34, 0.2079607046
global, 2025-01-01 00:00:00, 2025-01-02 17:00:00, 30695, 36, 0.2079607046
6h, 2025-01-02 10:00:00, 2025-01-02 16:00:00, 6734, 203, 0.3117592593
6h, 2025-01-02 11:00:00, 2025-01-02 17:00:00, 6722, 69, 0.3112037037
1h, 2025-01-02 15:00:00, 2025-01-02 16:00:00, 1109, 202, 0.3080555556
1h, 2025-01-02 16:00:00, 2025-01-02 17:00:00, 1105, 68, 0.3069444444
global, 2025-01-01 00:00:00, 2025-01-02 18:00:00, 32270, 28, 0.2134259259
6h, 2025-01-02 12:00:00, 2025-01-02 18:00:00, 6671, 119, 0.3088425926
1h, 2025-01-02 17:00:00, 2025-01-02 18:00:00, 1137, 115, 0.3158333333
