window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 121, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1993, 40, 0.0790873016
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3150, 25, 0.1093750000
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 151, 0.2952777778
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 159, 0.1163888889
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 88, 0.1701851852
global, 2025-01-01 00:00:00, 2025-01-01 09:00:00, 4123, 30, 0.1272530864
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 84, 0.3244444444
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 143, 0.2755555556
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5708, 23, 0.1585555556
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 150, 0.2159259259
global, 2025-01-01 00:00:00, 2025-01-01 12:00:00, 6958, 27, 0.1610648148
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 217, 0.2822222222
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 226, 0.2628240741
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 238, 0.3188888889
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 84, 0.2897222222
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 93, 0.2976851852
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8343, 34, 0.1782692308
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8343, 38, 0.1782692308
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 246, 0.2974537037
1h, 2025-01-01 13:00:00, 2025-01-01 14:00:00, 1023, 134, 0.2841666667
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9404, 32, 0.1865873016
6h, 2025-01-01 08:00:00, 2025-01-01 14:00:00, 6390, 142, 0.2958333333
1h, 2025-01-01 14:00:00, 2025-01-01 15:00:00, 1055, 92, 0.2930555556
6h, 2025-01-01 09:00:00, 2025-01-01 15:00:00, 6277, 118, 0.2906018519
global, 2025-01-01 00:00:00, 2025-01-01 15:00:00, 10264, 45, 0.1900740741
1h, 2025-01-01 15:00:00, 2025-01-01 16:00:00, 959, 95, 0.2663888889
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11319, 19, 0.1965104167
6h, 2025-01-01 10:00:00, 2025-01-01 16:00:00, 6244, 98, 0.2890740741
1h, 2025-01-01 16:00:00, 2025-01-01 17:00:00, 1043, 107, 0.2897222222
6h, 2025-01-01 11:00:00, 2025-01-01 17:00:00, 6271, 109, 0.2903240741
global, 2025-01-01 00:00:00, 2025-01-01 17:00:00, 12449, 45, 0.2034150327
1h, 2025-01-01 17:00:00, 2025-01-01 18:00:00, 1034, 168, 0.2872222222
1h, 2025-01-01 18:00:00, 2025-01-01 19:00:00, 1046, 39, 0.2905555556
global, 2025-01-01 00:00:00, 2025-01-01 19:00:00, 14185, 31, 0.2073830409
6h, 2025-01-01 13:00:00, 2025-01-01 19:00:00, 6160, 45, 0.2851851852
6h, 2025-01-01 12:00:00, 2025-01-01 18:00:00, 6157, 174, 0.2850462963
1h, 2025-01-01 19:00:00, 2025-01-01 20:00:00, 888, 133, 0.2466666667
global, 2025-01-01 00:00:00, 2025-01-01 20:00:00, 15695, 27, 0.2179861111
global, 2025-01-01 00:00:00, 2025-01-01 20:00:00, 15695, 30, 0.2179861111
6h, 2025-01-01 14:00:00, 2025-01-01 20:00:00, 6025, 138, 0.2789351852
global, 2025-01-01 00:00:00, 2025-01-02 00:00:00, 16801, 50, 0.1944560185
global, 2025-01-01 00:00:00, 2025-01-02 00:00:00, 16801, 52, 0.1944560185
1h, 2025-01-01 20:00:00, 2025-01-01 21:00:00, 797, 201, 0.2213888889
1h, 2025-01-01 21:00:00, 2025-01-01 22:00:00, 482, 131, 0.1338888889
1h, 2025-01-01 22:00:00, 2025-01-01 23:00:00, 362, 75, 0.1005555556
6h, 2025-01-01 15:00:00, 2025-01-01 21:00:00, 5767, 202, 0.2669907407
6h, 2025-01-01 17:00:00, 2025-01-01 23:00:00, 4609, 78, 0.2133796296
6h, 2025-01-01 16:00:00, 2025-01-01 22:00:00, 5290, 133, 0.2449074074
6h, 2025-01-01 18:00:00, 2025-01-02 00:00:00, 3739, 54, 0.1731018519
global, 2025-01-01 00:00:00, 2025-01-02 00:00:00, 16801, 51, 0.1944560185
global, 2025-01-01 00:00:00, 2025-01-02 00:00:00, 16801, 53, 0.1944560185
global, 2025-01-01 00:00:00, 2025-01-02 06:00:00, 17862, 33, 0.1653888889
global, 2025-01-01 00:00:00, 2025-01-02 06:00:00, 17862, 35, 0.1653888889
6h, 2025-01-01 19:00:00, 2025-01-02 01:00:00, 2731, 261, 0.1264351852
6h, 2025-01-01 21:00:00, 2025-01-02 03:00:00, 1064, 259, 0.0492592593
global, 2025-01-01 00:00:00, 2025-01-02 06:00:00, 17862, 37, 0.1653888889
global, 2025-01-01 00:00:00, 2025-01-02 06:00:00, 17862, 40, 0.1653888889
global, 2025-01-01 00:00:00, 2025-01-02 06:00:00, 17862, 39, 0.1653888889
6h, 2025-01-01 20:00:00, 2025-01-02 02:00:00, 1855, 259, 0.0858796296
6h, 2025-01-01 22:00:00, 2025-01-02 04:00:00, 587, 258, 0.0271759259
global, 2025-01-01 00:00:00, 2025-01-02 07:00:00, 19212, 29, 0.1721505376
1h, 2025-01-02 06:00:00, 2025-01-02 07:00:00, 1326, 270, 0.3683333333
1h, 2025-01-02 07:00:00, 2025-01-02 08:00:00, 1328, 97, 0.3688888889
global, 2025-01-01 00:00:00, 2025-01-02 08:00:00, 20768, 34, 0.1802777778
6h, 2025-01-02 01:00:00, 2025-01-02 07:00:00, 2063, 275, 0.0955092593
6h, 2025-01-02 02:00:00, 2025-01-02 08:00:00, 3379, 103, 0.1564351852
global, 2025-01-01 00:00:00, 2025-01-02 08:00:00, 20768, 36, 0.1802777778
1h, 2025-01-02 08:00:00, 2025-01-02 09:00:00, 1286, 148, 0.3572222222
global, 2025-01-01 00:00:00, 2025-01-02 09:00:00, 22381, 35, 0.1883922559
6h, 2025-01-02 03:00:00, 2025-01-02 09:00:00, 4659, 153, 0.2156944444
global, 2025-01-01 00:00:00, 2025-01-02 10:00:00, 23648, 23, 0.1932026144
1h, 2025-01-02 09:00:00, 2025-01-02 10:00:00, 1066, 197, 0.2961111111
6h, 2025-01-02 04:00:00, 2025-01-02 10:00:00, 5720, 198, 0.2648148148
1h, 2025-01-02 11:00:00, 2025-01-02 12:00:00, 1188, 73, 0.3300000000
1h, 2025-01-02 10:00:00, 2025-01-02 11:00:00, 1117, 228, 0.3102777778
global, 2025-01-01 00:00:00, 2025-01-02 12:00:00, 25248, 33, 0.1948148148
global, 2025-01-01 00:00:00, 2025-01-02 12:00:00, 25248, 34, 0.1948148148
6h, 2025-01-02 05:00:00, 2025-01-02 11:00:00, 6833, 233, 0.3163425926
6h, 2025-01-02 06:00:00, 2025-01-02 12:00:00, 7311, 79, 0.3384722222
1h, 2025-01-02 12:00:00, 2025-01-02 13:00:00, 1152, 129, 0.3200000000
6h, 2025-01-02 07:00:00, 2025-01-02 13:00:00, 7137, 130, 0.3304166667
global, 2025-01-01 00:00:00, 2025-01-02 13:00:00, 26769, 23, 0.2009684685
1h, 2025-01-02 13:00:00, 2025-01-02 14:00:00, 1074, 185, 0.2983333333
1h, 2025-01-02 14:00:00, 2025-01-02 15:00:00, 1094, 58, 0.3038888889
global, 2025-01-01 00:00:00, 2025-01-02 15:00:00, 28475, 28, 0.2028133903
global, 2025-01-01 00:00:00, 2025-01-02 15:00:00, 28475, 26, 0.2028133903
6h, 2025-01-02 09:00:00, 2025-01-02 15:00:00, 6691, 63, 0.3097685185
6h, 2025-01-02 08:00:00, 2025-01-02 14:00:00, 6883, 190, 0.3186574074
1h, 2025-01-02 15:00:00, 2025-01-02 16:00:00, 1109, 127, 0.3080555556
global, 2025-01-01 00:00:00, 2025-01-02 16:00:00, 29840, 45, 0.2072222222
6h, 2025-01-02 10:00:00, 2025-01-02 16:00:00, 6734, 132, 0.3117592593
1h, 2025-01-02 16:00:00, 2025-01-02 17:00:00, 1105, 146, 0.3069444444
6h, 2025-01-02 11:00:00, 2025-01-02 17:00:00, 6722, 147, 0.3112037037
global, 2025-01-01 00:00:00, 2025-01-02 17:00:00, 31310, 18, 0.2121273713
1h, 2025-01-02 18:00:00, 2025-01-02 19:00:00, 1209, 56, 0.3358333333
1h, 2025-01-02 17:00:00, 2025-01-02 18:00:00, 1137, 205, 0.3158333333
global, 2025-01-01 00:00:00, 2025-01-02 19:00:00, 32928, 38, 0.2127131783
6h, 2025-01-02 13:00:00, 2025-01-02 19:00:00, 6728, 63, 0.3114814815
6h, 2025-01-02 12:00:00, 2025-01-02 18:00:00, 6671, 211, 0.3088425926
global, 2025-01-01 00:00:00, 2025-01-02 19:00:00, 32928, 40, 0.2127131783
1h, 2025-01-02 19:00:00, 2025-01-02 20:00:00, 1026, 111, 0.2850000000
global, 2025-01-01 00:00:00, 2025-01-02 20:00:00, 34291, 35, 0.2164835859
6h, 2025-01-02 14:00:00, 2025-01-02 20:00:00, 6680, 117, 0.3092592593
1h, 2025-01-02 21:00:00, 2025-01-02 22:00:00, 717, 78, 0.1991666667
6h, 2025-01-02 15:00:00, 2025-01-02 21:00:00, 6546, 168, 0.3030555556
1h, 2025-01-02 20:00:00, 2025-01-02 21:00:00, 960, 167, 0.2666666667
6h, 2025-01-02 16:00:00, 2025-01-02 22:00:00, 6154, 80, 0.2849074074
global, 2025-01-01 00:00:00, 2025-01-02 22:00:00, 35893, 22, 0.2167451691
global, 2025-01-01 00:00:00, 2025-01-02 22:00:00, 35893, 24, 0.2167451691
1h, 2025-01-02 22:00:00, 2025-01-02 23:00:00, 569, 222, 0.1580555556
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 39, 0.1907716049
6h, 2025-01-02 17:00:00, 2025-01-02 23:00:00, 5618, 227, 0.2600925926
6h, 2025-01-02 19:00:00, 2025-01-03 01:00:00, 3505, 198, 0.1622685185
6h, 2025-01-02 21:00:00, 2025-01-03 03:00:00, 1538, 195, 0.0712037037
6h, 2025-01-02 23:00:00, 2025-01-03 05:00:00, 261, 194, 0.0120833333
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 43, 0.1907716049
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 48, 0.1907716049
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 53, 0.1907716049
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 41, 0.1907716049
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 45, 0.1907716049
global, 2025-01-01 00:00:00, 2025-01-03 06:00:00, 37086, 51, 0.1907716049
6h, 2025-01-02 18:00:00, 2025-01-03 00:00:00, 4674, 201, 0.2163888889
6h, 2025-01-02 20:00:00, 2025-01-03 02:00:00, 2492, 196, 0.1153703704
6h, 2025-01-02 22:00:00, 2025-01-03 04:00:00, 826, 195, 0.0382407407
global, 2025-01-01 00:00:00, 2025-01-03 07:00:00, 38272, 26, 0.1932929293
1h, 2025-01-03 06:00:00, 2025-01-03 07:00:00, 1312, 220, 0.3644444444
global, 2025-01-01 00:00:00, 2025-01-03 07:00:00, 39390, 38, 0.1989393939
6h, 2025-01-03 01:00:00, 2025-01-03 07:00:00, 2019, 220, 0.0934722222
1h, 2025-01-03 08:00:00, 2025-01-03 09:00:00, 1296, 53, 0.3600000000
1h, 2025-01-03 07:00:00, 2025-01-03 08:00:00, 1304, 213, 0.3622222222
global, 2025-01-01 00:00:00, 2025-01-03 09:00:00, 41073, 32, 0.2001608187
global, 2025-01-01 00:00:00, 2025-01-03 09:00:00, 41073, 29, 0.2001608187
6h, 2025-01-03 02:00:00, 2025-01-03 08:00:00, 3310, 219, 0.1532407407
6h, 2025-01-03 03:00:00, 2025-01-03 09:00:00, 4600, 59, 0.2129629630
1h, 2025-01-03 09:00:00, 2025-01-03 10:00:00, 1052, 123, 0.2922222222
global, 2025-01-01 00:00:00, 2025-01-03 10:00:00, 42609, 32, 0.2040660920
6h, 2025-01-03 04:00:00, 2025-01-03 10:00:00, 5647, 129, 0.2614351852
global, 2025-01-01 00:00:00, 2025-01-03 11:00:00, 44112, 30, 0.2076836158
6h, 2025-01-03 05:00:00, 2025-01-03 11:00:00, 6745, 162, 0.3122685185
1h, 2025-01-03 10:00:00, 2025-01-03 11:00:00, 1102, 161, 0.3061111111
1h, 2025-01-03 12:00:00, 2025-01-03 13:00:00, 1116, 74, 0.3100000000
global, 2025-01-01 00:00:00, 2025-01-03 13:00:00, 45582, 39, 0.2075683060
1h, 2025-01-03 11:00:00, 2025-01-03 12:00:00, 1181, 228, 0.3280555556
6h, 2025-01-03 06:00:00, 2025-01-03 12:00:00, 7247, 234, 0.3355092593
global, 2025-01-01 00:00:00, 2025-01-03 13:00:00, 45582, 42, 0.2075683060
6h, 2025-01-03 07:00:00, 2025-01-03 13:00:00, 7051, 80, 0.3264351852
1h, 2025-01-03 13:00:00, 2025-01-03 14:00:00, 1090, 125, 0.3027777778
global, 2025-01-01 00:00:00, 2025-01-03 14:00:00, 47051, 33, 0.2108019713
6h, 2025-01-03 08:00:00, 2025-01-03 14:00:00, 6837, 130, 0.3165277778
global, 2025-01-01 00:00:00, 2025-01-03 16:00:00, 48669, 23, 0.2112369792
1h, 2025-01-03 14:00:00, 2025-01-03 15:00:00, 1111, 160, 0.3086111111
6h, 2025-01-03 09:00:00, 2025-01-03 15:00:00, 6652, 161, 0.3079629630
global, 2025-01-01 00:00:00, 2025-01-03 17:00:00, 50172, 43, 0.2144102564
global, 2025-01-01 00:00:00, 2025-01-03 17:00:00, 50172, 40, 0.2144102564
1h, 2025-01-03 15:00:00, 2025-01-03 16:00:00, 1073, 235, 0.2980555556
1h, 2025-01-03 16:00:00, 2025-01-03 17:00:00, 1094, 102, 0.3038888889
6h, 2025-01-03 10:00:00, 2025-01-03 16:00:00, 6673, 241, 0.3089351852
6h, 2025-01-03 11:00:00, 2025-01-03 17:00:00, 6665, 108, 0.3085648148
6h, 2025-01-03 12:00:00, 2025-01-03 18:00:00, 6629, 155, 0.3068981481
1h, 2025-01-03 17:00:00, 2025-01-03 18:00:00, 1145, 152, 0.3180555556
global, 2025-01-01 00:00:00, 2025-01-03 18:00:00, 51798, 28, 0.2180050505
1h, 2025-01-03 18:00:00, 2025-01-03 19:00:00, 1184, 193, 0.3288888889
1h, 2025-01-03 19:00:00, 2025-01-03 20:00:00, 1022, 69, 0.2838888889
global, 2025-01-01 00:00:00, 2025-01-03 20:00:00, 53291, 40, 0.2176919935
6h, 2025-01-03 14:00:00, 2025-01-03 20:00:00, 6629, 74, 0.3068981481
6h, 2025-01-03 13:00:00, 2025-01-03 19:00:00, 6697, 198, 0.3100462963
global, 2025-01-01 00:00:00, 2025-01-03 20:00:00, 53291, 43, 0.2176919935
1h, 2025-01-03 20:00:00, 2025-01-03 21:00:00, 986, 134, 0.2738888889
global, 2025-01-01 00:00:00, 2025-01-03 22:00:00, 54745, 41, 0.2172420635
1h, 2025-01-03 21:00:00, 2025-01-03 22:00:00, 670, 46, 0.1861111111
6h, 2025-01-03 16:00:00, 2025-01-03 22:00:00, 6101, 51, 0.2824537037
6h, 2025-01-03 15:00:00, 2025-01-03 21:00:00, 6504, 138, 0.3011111111
6h, 2025-01-03 17:00:00, 2025-01-03 23:00:00, 5568, 163, 0.2577777778
6h, 2025-01-03 18:00:00, 2025-01-04 00:00:00, 4605, 140, 0.2131944444
6h, 2025-01-03 20:00:00, 2025-01-04 02:00:00, 2451, 136, 0.1134722222
6h, 2025-01-03 22:00:00, 2025-01-04 04:00:00, 805, 136, 0.0372685185
1h, 2025-01-03 22:00:00, 2025-01-03 23:00:00, 561, 162, 0.1558333333
global, 2025-01-01 00:00:00, 2025-01-04 06:00:00, 56421, 26, 0.2009294872
global, 2025-01-01 00:00:00, 2025-01-04 06:00:00, 56421, 32, 0.2009294872
global, 2025-01-01 00:00:00, 2025-01-04 06:00:00, 56421, 23, 0.2009294872
global, 2025-01-01 00:00:00, 2025-01-04 06:00:00, 56421, 29, 0.2009294872
global, 2025-01-01 00:00:00, 2025-01-04 06:00:00, 56421, 37, 0.2009294872
6h, 2025-01-03 19:00:00, 2025-01-04 01:00:00, 3460, 138, 0.1601851852
