timestamp_epoch,timestamp_iso,job_id,source_records_out_per_sec,filter_records_out_per_sec,source_busy_ms_per_sec,source_backpressure_ms_per_sec,source_idle_ms_per_sec,window_records_in_per_sec,window_records_out_per_sec,sink_csv_records_in_per_sec,window_busy_ms_per_sec,window_backpressure_ms_per_sec,window_idle_ms_per_sec
1782993636,2026-07-02T12:00:36Z,e0541997e10be89f8fb9e5ffa6b25da5,8203.1833,4855.7000,29.0000,0.0000,1000.0000,9753.7000,186.3333,0.0,0.0000,0.0000,1000.0000
1782993641,2026-07-02T12:00:41Z,e0541997e10be89f8fb9e5ffa6b25da5,8235.6500,4871.6833,28.0000,0.0000,1000.0000,9783.2167,187.0833,0.0,0.0000,0.0000,1000.0000
1782993647,2026-07-02T12:00:47Z,e0541997e10be89f8fb9e5ffa6b25da5,8235.6500,4871.6833,28.0000,0.0000,1000.0000,9783.2167,187.0833,0.0,0.0000,0.0000,1000.0000
1782993653,2026-07-02T12:00:53Z,e0541997e10be89f8fb9e5ffa6b25da5,8280.5833,4893.1667,28.0000,0.0000,1000.0000,9826.2167,184.7500,0.0,1.0000,0.0000,1000.0000
1782993658,2026-07-02T12:00:58Z,e0541997e10be89f8fb9e5ffa6b25da5,8280.5833,4893.1667,28.0000,0.0000,1000.0000,9826.2167,184.7500,0.0,1.0000,0.0000,1000.0000
1782993664,2026-07-02T12:01:04Z,e0541997e10be89f8fb9e5ffa6b25da5,8338.9000,4924.3000,29.0000,0.0000,1000.0000,9889.5333,182.6667,0.0,2.0000,0.0000,1000.0000
1782993670,2026-07-02T12:01:10Z,e0541997e10be89f8fb9e5ffa6b25da5,8338.9000,4924.3000,29.0000,0.0000,1000.0000,9889.5333,182.6667,0.0,2.0000,0.0000,1000.0000
1782993675,2026-07-02T12:01:15Z,e0541997e10be89f8fb9e5ffa6b25da5,8351.8000,4942.5667,29.0000,0.0000,1000.0000,9928.1000,180.8333,0.0,2.0000,0.0000,1000.0000
1782993681,2026-07-02T12:01:21Z,e0541997e10be89f8fb9e5ffa6b25da5,8351.8000,4942.5667,29.0000,0.0000,1000.0000,9928.1000,180.8333,0.0,2.0000,0.0000,1000.0000
1782993687,2026-07-02T12:01:27Z,e0541997e10be89f8fb9e5ffa6b25da5,8352.6833,4947.2667,29.0000,0.0000,1000.0000,9927.9167,178.4167,0.0,2.0000,0.0000,1000.0000
1782993692,2026-07-02T12:01:32Z,e0541997e10be89f8fb9e5ffa6b25da5,8352.6833,4947.2667,29.0000,0.0000,1000.0000,9927.9167,178.4167,0.0,2.0000,0.0000,1000.0000
1782993698,2026-07-02T12:01:38Z,e0541997e10be89f8fb9e5ffa6b25da5,8391.3833,4970.8667,29.0000,0.0000,1000.0000,9986.8833,177.9167,0.0,0.0000,0.0000,1000.0000
1782993704,2026-07-02T12:01:44Z,e0541997e10be89f8fb9e5ffa6b25da5,8391.3833,4970.8667,29.0000,0.0000,1000.0000,9986.8833,177.9167,0.0,0.0000,0.0000,1000.0000
1782993709,2026-07-02T12:01:49Z,e0541997e10be89f8fb9e5ffa6b25da5,8410.6167,4989.2833,29.0000,0.0000,1000.0000,10012.9667,175.6667,0.0,0.0000,0.0000,1000.0000
1782993715,2026-07-02T12:01:55Z,e0541997e10be89f8fb9e5ffa6b25da5,8410.6167,4989.2833,29.0000,0.0000,1000.0000,10012.9667,175.6667,0.0,0.0000,0.0000,1000.0000
1782993721,2026-07-02T12:02:01Z,e0541997e10be89f8fb9e5ffa6b25da5,8404.9667,4990.5333,28.0000,0.0000,1000.0000,10028.1000,172.8333,0.0,0.0000,0.0000,1000.0000
1782993726,2026-07-02T12:02:06Z,e0541997e10be89f8fb9e5ffa6b25da5,8404.9667,4990.5333,28.0000,0.0000,1000.0000,10028.1000,172.8333,0.0,0.0000,0.0000,1000.0000
1782993732,2026-07-02T12:02:12Z,e0541997e10be89f8fb9e5ffa6b25da5,8405.1333,4981.6333,27.0000,0.0000,1000.0000,10002.2167,173.5833,0.0,0.0000,0.0000,1000.0000
1782993738,2026-07-02T12:02:18Z,e0541997e10be89f8fb9e5ffa6b25da5,8405.1333,4981.6333,27.0000,0.0000,1000.0000,10002.2167,173.5833,0.0,0.0000,0.0000,1000.0000
1782993743,2026-07-02T12:02:23Z,e0541997e10be89f8fb9e5ffa6b25da5,8428.4667,5001.9167,27.0000,0.0000,1000.0000,10032.7333,174.8333,0.0,0.0000,0.0000,1000.0000
1782993749,2026-07-02T12:02:29Z,e0541997e10be89f8fb9e5ffa6b25da5,8428.4667,5001.9167,27.0000,0.0000,1000.0000,10032.7333,174.8333,0.0,0.0000,0.0000,1000.0000
1782993755,2026-07-02T12:02:35Z,e0541997e10be89f8fb9e5ffa6b25da5,8453.0167,5016.4667,28.0000,0.0000,1000.0000,10068.1500,175.2500,0.0,0.0000,0.0000,1000.0000
1782993760,2026-07-02T12:02:40Z,e0541997e10be89f8fb9e5ffa6b25da5,8453.0167,5016.4667,28.0000,0.0000,1000.0000,10068.1500,175.2500,0.0,0.0000,0.0000,1000.0000
1782993766,2026-07-02T12:02:46Z,e0541997e10be89f8fb9e5ffa6b25da5,8433.0167,5008.5667,27.0000,0.0000,1000.0000,10054.7667,176.0000,0.0,0.0000,0.0000,1000.0000
1782993772,2026-07-02T12:02:52Z,e0541997e10be89f8fb9e5ffa6b25da5,8433.0167,5008.5667,27.0000,0.0000,1000.0000,10054.7667,176.0000,0.0,0.0000,0.0000,1000.0000
1782993777,2026-07-02T12:02:57Z,e0541997e10be89f8fb9e5ffa6b25da5,8420.3333,5008.5667,27.0000,0.0000,1000.0000,10053.9667,176.6667,0.0,0.0000,0.0000,1000.0000
