timestamp_epoch,timestamp_iso,job_id,source_records_out_per_sec,filter_records_out_per_sec,source_busy_ms_per_sec,source_backpressure_ms_per_sec,source_idle_ms_per_sec,win1h_records_in_per_sec,win1h_records_out_per_sec,win1h_busy_ms_per_sec,win1h_backpressure_ms_per_sec,win1h_idle_ms_per_sec,win6h_records_in_per_sec,win6h_records_out_per_sec,win6h_busy_ms_per_sec,win6h_backpressure_ms_per_sec,win6h_idle_ms_per_sec,winglobal_records_in_per_sec,winglobal_records_out_per_sec,winglobal_busy_ms_per_sec,winglobal_backpressure_ms_per_sec,winglobal_idle_ms_per_sec
1783023156,2026-07-02T20:12:36Z,63fdb920ce6cdc97377c9279f81b2fb7,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0,0.0,1000.0,0,0,0.0,0.0,1000.0,0,0,0.0,0.0,1000.0,0,0
1783023162,2026-07-02T20:12:42Z,63fdb920ce6cdc97377c9279f81b2fb7,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0,0.0,1000.0,0,0,0.0,0.0,1000.0,0,0,0.0,0.0,1000.0,0,0
1783023167,2026-07-02T20:12:47Z,63fdb920ce6cdc97377c9279f81b2fb7,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0,0.0,0.0,0,1000,0.0,0.0,0.0,0,1000,0.0,0.0,0.0,0,1000
1783023173,2026-07-02T20:12:53Z,63fdb920ce6cdc97377c9279f81b2fb7,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0,0.0,0.0,0,1000,0.0,0.0,0.0,0,1000,0.0,0.0,0.0,0,1000
1783023178,2026-07-02T20:12:58Z,63fdb920ce6cdc97377c9279f81b2fb7,1451.2167,1451.2167,4.0000,0.0000,996.0000,1448.6,1.2666666666666666,0.0,0,1000,1448.6,1.6666666666666667,13.0,0,987,1448.6,1.85,19.0,0,981
1783023184,2026-07-02T20:13:04Z,63fdb920ce6cdc97377c9279f81b2fb7,1451.2167,1451.2167,4.0000,0.0000,996.0000,1448.6,1.2666666666666666,0.0,0,1000,1448.6,1.6666666666666667,13.0,0,987,1448.6,1.85,19.0,0,981
1783023190,2026-07-02T20:13:10Z,63fdb920ce6cdc97377c9279f81b2fb7,2730.7000,2730.7000,14.0000,0.0000,986.0000,2730.3333333333335,2.6166666666666667,16.0,0,984,2730.3333333333335,3.45,52.0,0,948,2730.3333333333335,3.783333333333333,78.0,0,922
1783023195,2026-07-02T20:13:15Z,63fdb920ce6cdc97377c9279f81b2fb7,2730.7000,2730.7000,14.0000,0.0000,986.0000,2730.3333333333335,2.6166666666666667,16.0,0,984,2730.3333333333335,3.45,52.0,0,948,2730.3333333333335,3.783333333333333,78.0,0,922
1783023200,2026-07-02T20:13:20Z,63fdb920ce6cdc97377c9279f81b2fb7,4091.7333,4091.7333,20.0000,0.0000,980.0000,4087.9333333333334,3.9833333333333334,33.0,0,967,4087.9333333333334,5.266666666666667,71.0,0,929,4087.9333333333334,5.783333333333333,127.0,0,873
1783023206,2026-07-02T20:13:26Z,63fdb920ce6cdc97377c9279f81b2fb7,4091.7333,4091.7333,20.0000,0.0000,980.0000,4087.9333333333334,3.9833333333333334,33.0,0,967,4087.9333333333334,5.266666666666667,71.0,0,929,4087.9333333333334,5.783333333333333,127.0,0,873
