timestamp_epoch,timestamp_iso,job_id,source_records_out_per_sec,filter_records_out_per_sec,source_busy_ms_per_sec,source_backpressure_ms_per_sec,source_idle_ms_per_sec,win1h_records_in_per_sec,win1h_records_out_per_sec,win1h_busy_ms_per_sec,win1h_backpressure_ms_per_sec,win1h_idle_ms_per_sec,win6h_records_in_per_sec,win6h_records_out_per_sec,win6h_busy_ms_per_sec,win6h_backpressure_ms_per_sec,win6h_idle_ms_per_sec,winglobal_records_in_per_sec,winglobal_records_out_per_sec,winglobal_busy_ms_per_sec,winglobal_backpressure_ms_per_sec,winglobal_idle_ms_per_sec
1782980082,2026-07-02T08:14:42Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7798.5667,34.0000,0.0000,1000.0000,7800.416666666667,45.61666666666667,7.0,0,993,7800.416666666667,95.63333333333334,15.0,0,985,7800.416666666667,111.0,277.0,0,723
1782980088,2026-07-02T08:14:48Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7798.5667,34.0000,0.0000,1000.0000,7800.416666666667,45.61666666666667,7.0,0,993,7800.416666666667,95.63333333333334,15.0,0,985,7800.416666666667,111.0,277.0,0,723
1782980093,2026-07-02T08:14:53Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7735.8667,35.0000,0.0000,1000.0000,7736.95,46.233333333333334,7.0,0,993,7735.866666666667,94.3,16.0,0,984,7748.85,109.16666666666667,351.0,0,649
1782980099,2026-07-02T08:14:59Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7735.8667,35.0000,0.0000,1000.0000,7736.95,46.233333333333334,7.0,0,993,7735.866666666667,94.3,16.0,0,984,7748.85,109.16666666666667,351.0,0,649
1782980104,2026-07-02T08:15:04Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7720.6000,35.0000,0.0000,1000.0000,7716.716666666666,46.6,6.0,0,994,7720.816666666667,93.66666666666667,16.0,0,984,7716.716666666666,107.66666666666667,401.0,0,599
1782980110,2026-07-02T08:15:10Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7720.6000,35.0000,0.0000,1000.0000,7716.716666666666,46.6,6.0,0,994,7720.816666666667,93.66666666666667,16.0,0,984,7716.716666666666,107.66666666666667,401.0,0,599
1782980115,2026-07-02T08:15:15Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7659.2667,36.0000,0.0000,1000.0000,7661.683333333333,46.61666666666667,6.0,0,994,7665.766666666666,92.23333333333333,17.0,0,983,7649.383333333333,105.05,449.0,0,551
1782980121,2026-07-02T08:15:21Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7659.2667,36.0000,0.0000,1000.0000,7661.683333333333,46.61666666666667,6.0,0,994,7665.766666666666,92.23333333333333,17.0,0,983,7649.383333333333,105.05,449.0,0,551
1782980126,2026-07-02T08:15:26Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7666.5500,36.0000,0.0000,1000.0000,7667.716666666666,47.05,6.0,0,994,7667.716666666666,90.15,17.0,0,983,7677.633333333333,103.43333333333334,495.0,0,505
1782980132,2026-07-02T08:15:32Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7666.5500,36.0000,0.0000,1000.0000,7667.716666666666,47.05,6.0,0,994,7667.716666666666,90.15,17.0,0,983,7677.633333333333,103.43333333333334,495.0,0,505
1782980137,2026-07-02T08:15:37Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7658.6833,36.0000,0.0000,1000.0000,7660.166666666667,47.3,6.0,0,994,7659.266666666666,90.75,18.0,0,982,7652.5,101.16666666666667,534.0,0,466
1782980143,2026-07-02T08:15:43Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7658.6833,36.0000,0.0000,1000.0000,7660.166666666667,47.3,6.0,0,994,7659.266666666666,90.75,18.0,0,982,7652.5,101.16666666666667,534.0,0,466
1782980148,2026-07-02T08:15:48Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7514.7500,35.0000,4.0000,1000.0000,7511.383333333333,46.65,6.0,0,994,7511.383333333333,86.9,16.0,0,984,7509.916666666667,97.33333333333333,589.0,0,411
1782980154,2026-07-02T08:15:54Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7514.7500,35.0000,4.0000,1000.0000,7511.383333333333,46.65,6.0,0,994,7511.383333333333,86.9,16.0,0,984,7509.916666666667,97.33333333333333,589.0,0,411
1782980159,2026-07-02T08:15:59Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7440.0000,35.0000,7.0000,1000.0000,7443.883333333333,46.3,6.0,0,994,7441.666666666667,85.23333333333333,16.0,0,984,7448.516666666666,96.0,628.0,0,372
1782980165,2026-07-02T08:16:05Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7440.0000,35.0000,7.0000,1000.0000,7443.883333333333,46.3,6.0,0,994,7441.666666666667,85.23333333333333,16.0,0,984,7448.516666666666,96.0,628.0,0,372
1782980171,2026-07-02T08:16:11Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7374.7667,35.0000,11.0000,1000.0000,7379.5,45.85,6.0,0,994,7379.5,84.75,16.0,0,984,7313.633333333333,94.33333333333333,656.0,0,344
1782980176,2026-07-02T08:16:16Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7374.7667,35.0000,11.0000,1000.0000,7379.5,45.85,6.0,0,994,7379.5,84.75,16.0,0,984,7313.633333333333,94.33333333333333,656.0,0,344
1782980182,2026-07-02T08:16:22Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7315.9167,34.0000,23.0000,1000.0000,7317.933333333333,46.333333333333336,6.0,0,994,7321.5,84.11666666666666,16.0,0,984,7321.95,92.8,685.0,0,315
1782980187,2026-07-02T08:16:27Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7315.9167,34.0000,23.0000,1000.0000,7317.933333333333,46.333333333333336,6.0,0,994,7321.5,84.11666666666666,16.0,0,984,7321.95,92.8,685.0,0,315
1782980193,2026-07-02T08:16:33Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7267.3833,34.0000,35.0000,1000.0000,7269.616666666667,46.56666666666667,6.0,0,994,7267.266666666666,81.3,15.0,0,985,7273.583333333333,91.45,716.0,0,284
1782980198,2026-07-02T08:16:38Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7267.3833,34.0000,35.0000,1000.0000,7269.616666666667,46.56666666666667,6.0,0,994,7267.266666666666,81.3,15.0,0,985,7273.583333333333,91.45,716.0,0,284
1782980204,2026-07-02T08:16:44Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7247.8667,34.0000,67.0000,1000.0000,7247.916666666667,46.25,5.0,0,995,7247.916666666667,81.5,15.0,0,985,7227.066666666667,89.83333333333333,764.0,0,236
1782980209,2026-07-02T08:16:49Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7247.8667,34.0000,67.0000,1000.0000,7247.916666666667,46.25,5.0,0,995,7247.916666666667,81.5,15.0,0,985,7227.066666666667,89.83333333333333,764.0,0,236
1782980215,2026-07-02T08:16:55Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7135.1333,35.0000,89.0000,1000.0000,7136.75,45.833333333333336,4.0,0,996,7136.75,80.25,15.0,0,985,7137.366666666667,88.66666666666667,794.0,0,206
1782980221,2026-07-02T08:17:01Z,31d87ce62de53eeb9195691677d6ae72,0.0000,7135.1333,35.0000,89.0000,1000.0000,7136.75,45.833333333333336,4.0,0,996,7136.75,80.25,15.0,0,985,7137.366666666667,88.66666666666667,794.0,0,206
