window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 139, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2113, 45, 0.0838492063
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2113, 49, 0.0838492063
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3163, 24, 0.1098263889
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 141, 0.1163888889
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 141, 0.2952777778
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 277, 0.3244444444
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 103, 0.2755555556
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 278, 0.1701851852
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 104, 0.2159259259
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5402, 21, 0.1500555556
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5402, 19, 0.1500555556
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 170, 0.2822222222
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 6691, 30, 0.1689646465
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 172, 0.2628240741
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 189, 0.3188888889
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8076, 34, 0.1725641026
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 44, 0.2897222222
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 47, 0.2976851852
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 191, 0.2974537037
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8076, 30, 0.1725641026
1h, 2025-01-01 13:00:00, 2025-01-01 14:00:00, 1023, 91, 0.2841666667
6h, 2025-01-01 08:00:00, 2025-01-01 14:00:00, 6390, 90, 0.2958333333
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9200, 33, 0.1825396825
6h, 2025-01-01 09:00:00, 2025-01-01 15:00:00, 6277, 240, 0.2906018519
1h, 2025-01-01 14:00:00, 2025-01-01 15:00:00, 1055, 239, 0.2930555556
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11648, 28, 0.2022222222
1h, 2025-01-01 15:00:00, 2025-01-01 16:00:00, 959, 112, 0.2663888889
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11648, 30, 0.2022222222
6h, 2025-01-01 10:00:00, 2025-01-01 16:00:00, 6244, 115, 0.2890740741
global, 2025-01-01 00:00:00, 2025-01-01 18:00:00, 13153, 17, 0.2029783951
1h, 2025-01-01 16:00:00, 2025-01-01 17:00:00, 1043, 168, 0.2897222222
6h, 2025-01-01 11:00:00, 2025-01-01 17:00:00, 6271, 169, 0.2903240741
6h, 2025-01-01 12:00:00, 2025-01-01 18:00:00, 6157, 36, 0.2850462963
1h, 2025-01-01 17:00:00, 2025-01-01 18:00:00, 1034, 35, 0.2872222222
6h, 2025-01-01 13:00:00, 2025-01-01 19:00:00, 6160, 93, 0.2851851852
global, 2025-01-01 00:00:00, 2025-01-01 19:00:00, 14647, 32, 0.2141374269
1h, 2025-01-01 18:00:00, 2025-01-01 19:00:00, 1046, 93, 0.2905555556
global, 2025-01-01 00:00:00, 2025-01-01 19:00:00, 14647, 31, 0.2141374269
1h, 2025-01-01 20:00:00, 2025-01-01 21:00:00, 797, 89, 0.2213888889
1h, 2025-01-01 19:00:00, 2025-01-01 20:00:00, 888, 183, 0.2466666667
6h, 2025-01-01 15:00:00, 2025-01-01 21:00:00, 5767, 89, 0.2669907407
6h, 2025-01-01 14:00:00, 2025-01-01 20:00:00, 6025, 183, 0.2789351852
6h, 2025-01-01 16:00:00, 2025-01-01 22:00:00, 5290, 27, 0.2449074074
1h, 2025-01-01 21:00:00, 2025-01-01 22:00:00, 482, 26, 0.1338888889
global, 2025-01-01 00:00:00, 2025-01-01 22:00:00, 16336, 25, 0.2062626263
global, 2025-01-01 00:00:00, 2025-01-01 22:00:00, 16336, 23, 0.2062626263
global, 2025-01-01 00:00:00, 2025-01-01 22:00:00, 16336, 27, 0.2062626263
1h, 2025-01-01 22:00:00, 2025-01-01 23:00:00, 362, 176, 0.1005555556
6h, 2025-01-01 17:00:00, 2025-01-01 23:00:00, 4609, 177, 0.2133796296
6h, 2025-01-01 19:00:00, 2025-01-02 01:00:00, 2731, 148, 0.1264351852
6h, 2025-01-01 18:00:00, 2025-01-02 00:00:00, 3739, 151, 0.1731018519
6h, 2025-01-01 20:00:00, 2025-01-02 02:00:00, 1855, 148, 0.0858796296
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17457, 29, 0.1672126437
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17457, 33, 0.1672126437
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17457, 36, 0.1672126437
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17457, 39, 0.1672126437
global, 2025-01-01 00:00:00, 2025-01-02 05:00:00, 17457, 31, 0.1672126437
