timestamp_epoch,timestamp_iso,job_id,source_records_out_per_sec,filter_records_out_per_sec,source_busy_ms_per_sec,source_backpressure_ms_per_sec,source_idle_ms_per_sec,window_records_in_per_sec,window_records_out_per_sec,sink_csv_records_in_per_sec,window_busy_ms_per_sec,window_backpressure_ms_per_sec,window_idle_ms_per_sec
1782931648,2026-07-01T18:47:28Z,7cb694969dc5fbe58333d7e88429d6fd,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0,1000.0000,0.0000,0.0000
1782931654,2026-07-01T18:47:34Z,7cb694969dc5fbe58333d7e88429d6fd,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0,1000.0000,0.0000,0.0000
1782931660,2026-07-01T18:47:40Z,7cb694969dc5fbe58333d7e88429d6fd,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0,0.0000,0.0000,1000.0000
1782931665,2026-07-01T18:47:45Z,7cb694969dc5fbe58333d7e88429d6fd,0.0000,0.0000,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0,0.0000,0.0000,1000.0000
1782931671,2026-07-01T18:47:51Z,7cb694969dc5fbe58333d7e88429d6fd,1354.2833,797.3333,7.0000,0.0000,1000.0000,1593.5833,29.9167,0.0,0.0000,0.0000,1000.0000
1782931677,2026-07-01T18:47:57Z,7cb694969dc5fbe58333d7e88429d6fd,1354.2833,797.3333,7.0000,0.0000,1000.0000,1593.5833,29.9167,0.0,0.0000,0.0000,1000.0000
1782931683,2026-07-01T18:48:03Z,7cb694969dc5fbe58333d7e88429d6fd,2561.3667,1508.2667,14.0000,0.0000,1000.0000,3023.5333,57.5000,0.0,0.0000,0.0000,1000.0000
1782931688,2026-07-01T18:48:08Z,7cb694969dc5fbe58333d7e88429d6fd,2561.3667,1508.2667,14.0000,0.0000,1000.0000,3023.5333,57.5000,0.0,0.0000,0.0000,1000.0000
1782931694,2026-07-01T18:48:14Z,7cb694969dc5fbe58333d7e88429d6fd,3856.7667,2259.6167,17.0000,0.0000,1000.0000,4531.4500,87.0833,0.0,0.0000,0.0000,1000.0000
1782931700,2026-07-01T18:48:20Z,7cb694969dc5fbe58333d7e88429d6fd,3856.7667,2259.6167,17.0000,0.0000,1000.0000,4531.4500,87.0833,0.0,0.0000,0.0000,1000.0000
1782931705,2026-07-01T18:48:25Z,7cb694969dc5fbe58333d7e88429d6fd,5723.0833,3365.9833,20.0000,0.0000,1000.0000,6751.6500,131.7500,0.0,0.0000,0.0000,1000.0000
1782931711,2026-07-01T18:48:31Z,7cb694969dc5fbe58333d7e88429d6fd,5723.0833,3365.9833,20.0000,0.0000,1000.0000,6751.6500,131.7500,0.0,0.0000,0.0000,1000.0000
1782931717,2026-07-01T18:48:37Z,7cb694969dc5fbe58333d7e88429d6fd,6952.1333,4099.7333,33.0000,0.0000,1000.0000,8223.5500,159.9167,0.0,0.0000,0.0000,1000.0000
1782931723,2026-07-01T18:48:43Z,7cb694969dc5fbe58333d7e88429d6fd,6952.1333,4099.7333,33.0000,0.0000,1000.0000,8223.5500,159.9167,0.0,0.0000,0.0000,1000.0000
1782931728,2026-07-01T18:48:48Z,7cb694969dc5fbe58333d7e88429d6fd,7544.6500,4453.9000,30.0000,0.0000,1000.0000,8949.0667,175.3333,0.0,0.0000,0.0000,1000.0000
1782931734,2026-07-01T18:48:54Z,7cb694969dc5fbe58333d7e88429d6fd,7544.6500,4453.9000,30.0000,0.0000,1000.0000,8949.0667,175.3333,0.0,0.0000,0.0000,1000.0000
1782931740,2026-07-01T18:49:00Z,7cb694969dc5fbe58333d7e88429d6fd,7645.5000,4519.3333,28.0000,0.0000,1000.0000,9079.1333,179.8333,0.0,0.0000,0.0000,1000.0000
1782931746,2026-07-01T18:49:06Z,7cb694969dc5fbe58333d7e88429d6fd,7645.5000,4519.3333,28.0000,0.0000,1000.0000,9079.1333,179.8333,0.0,0.0000,0.0000,1000.0000
1782931751,2026-07-01T18:49:11Z,7cb694969dc5fbe58333d7e88429d6fd,7686.1167,4557.2833,29.0000,0.0000,1000.0000,9145.7000,180.5000,0.0,0.0000,0.0000,1000.0000
1782931757,2026-07-01T18:49:17Z,7cb694969dc5fbe58333d7e88429d6fd,7686.1167,4557.2833,29.0000,0.0000,1000.0000,9145.7000,180.5000,0.0,0.0000,0.0000,1000.0000
1782931763,2026-07-01T18:49:23Z,7cb694969dc5fbe58333d7e88429d6fd,7671.1000,4546.3667,29.0000,0.0000,1000.0000,9122.7833,179.2500,0.0,0.0000,0.0000,1000.0000
1782931769,2026-07-01T18:49:29Z,7cb694969dc5fbe58333d7e88429d6fd,7671.1000,4546.3667,29.0000,0.0000,1000.0000,9122.7833,179.2500,0.0,0.0000,0.0000,1000.0000
1782931774,2026-07-01T18:49:34Z,7cb694969dc5fbe58333d7e88429d6fd,7799.0833,4614.2000,29.0000,0.0000,1000.0000,9273.5500,180.0833,0.0,0.0000,0.0000,1000.0000
1782931780,2026-07-01T18:49:40Z,7cb694969dc5fbe58333d7e88429d6fd,7799.0833,4614.2000,29.0000,0.0000,1000.0000,9273.5500,180.0833,0.0,0.0000,0.0000,1000.0000
1782931786,2026-07-01T18:49:46Z,7cb694969dc5fbe58333d7e88429d6fd,8053.5333,4761.4333,29.0000,0.0000,1000.0000,9562.1667,182.3333,0.0,0.0000,0.0000,1000.0000
1782931791,2026-07-01T18:49:51Z,7cb694969dc5fbe58333d7e88429d6fd,8053.5333,4761.4333,29.0000,0.0000,1000.0000,9562.1667,182.3333,0.0,0.0000,0.0000,1000.0000
1782931797,2026-07-01T18:49:57Z,7cb694969dc5fbe58333d7e88429d6fd,8055.5667,4765.9667,28.0000,0.0000,1000.0000,9560.5167,181.2500,0.0,0.0000,0.0000,1000.0000
1782931803,2026-07-01T18:50:03Z,7cb694969dc5fbe58333d7e88429d6fd,8055.5667,4765.9667,28.0000,0.0000,1000.0000,9560.5167,181.2500,0.0,0.0000,0.0000,1000.0000
1782931808,2026-07-01T18:50:08Z,7cb694969dc5fbe58333d7e88429d6fd,7801.6500,4609.3000,27.0000,0.0000,1000.0000,9258.5000,175.3333,0.0,0.0000,0.0000,1000.0000
1782931814,2026-07-01T18:50:14Z,7cb694969dc5fbe58333d7e88429d6fd,7801.6500,4609.3000,27.0000,0.0000,1000.0000,9258.5000,175.3333,0.0,0.0000,0.0000,1000.0000
1782931820,2026-07-01T18:50:20Z,7cb694969dc5fbe58333d7e88429d6fd,8034.9833,4743.1333,27.0000,0.0000,1000.0000,9522.1833,175.5833,0.0,0.0000,0.0000,1000.0000
1782931825,2026-07-01T18:50:25Z,7cb694969dc5fbe58333d7e88429d6fd,8034.9833,4743.1333,27.0000,0.0000,1000.0000,9522.1833,175.5833,0.0,0.0000,0.0000,1000.0000
1782931831,2026-07-01T18:50:31Z,7cb694969dc5fbe58333d7e88429d6fd,8096.9833,4789.7500,27.0000,0.0000,1000.0000,9614.9333,176.0000,0.0,0.0000,0.0000,1000.0000
1782931837,2026-07-01T18:50:37Z,7cb694969dc5fbe58333d7e88429d6fd,8096.9833,4789.7500,27.0000,0.0000,1000.0000,9614.9333,176.0000,0.0,0.0000,0.0000,1000.0000
1782931843,2026-07-01T18:50:43Z,7cb694969dc5fbe58333d7e88429d6fd,7985.0667,4733.2833,27.0000,0.0000,1000.0000,9495.5333,171.6667,0.0,0.0000,0.0000,1000.0000
1782931848,2026-07-01T18:50:48Z,7cb694969dc5fbe58333d7e88429d6fd,7985.0667,4733.2833,27.0000,0.0000,1000.0000,9495.5333,171.6667,0.0,0.0000,0.0000,1000.0000
1782931854,2026-07-01T18:50:54Z,7cb694969dc5fbe58333d7e88429d6fd,7926.6500,4697.2333,27.0000,0.0000,1000.0000,9432.1667,167.8333,0.0,0.0000,0.0000,1000.0000
1782931860,2026-07-01T18:51:00Z,7cb694969dc5fbe58333d7e88429d6fd,7926.6500,4697.2333,27.0000,0.0000,1000.0000,9432.1667,167.8333,0.0,0.0000,0.0000,1000.0000
1782931865,2026-07-01T18:51:05Z,7cb694969dc5fbe58333d7e88429d6fd,7957.9000,4721.7667,28.0000,0.0000,1000.0000,9483.1500,166.4167,0.0,0.0000,0.0000,1000.0000
1782931871,2026-07-01T18:51:11Z,7cb694969dc5fbe58333d7e88429d6fd,7957.9000,4721.7667,28.0000,0.0000,1000.0000,9483.1500,166.4167,0.0,0.0000,0.0000,1000.0000
1782931877,2026-07-01T18:51:17Z,7cb694969dc5fbe58333d7e88429d6fd,7924.8667,4710.1333,28.0000,0.0000,1000.0000,9453.5833,164.7500,0.0,0.0000,0.0000,1000.0000
1782931882,2026-07-01T18:51:22Z,7cb694969dc5fbe58333d7e88429d6fd,7924.8667,4710.1333,28.0000,0.0000,1000.0000,9453.5833,164.7500,0.0,0.0000,0.0000,1000.0000
1782931888,2026-07-01T18:51:28Z,7cb694969dc5fbe58333d7e88429d6fd,8073.7000,4785.8333,27.0000,0.0000,1000.0000,9608.6667,167.0000,0.0,0.0000,0.0000,1000.0000
1782931894,2026-07-01T18:51:34Z,7cb694969dc5fbe58333d7e88429d6fd,8073.7000,4785.8333,27.0000,0.0000,1000.0000,9608.6667,167.0000,0.0,0.0000,0.0000,1000.0000
1782931899,2026-07-01T18:51:39Z,7cb694969dc5fbe58333d7e88429d6fd,8158.2167,4839.8333,27.0000,0.0000,1000.0000,9700.8167,167.9167,0.0,0.0000,0.0000,1000.0000
1782931905,2026-07-01T18:51:45Z,7cb694969dc5fbe58333d7e88429d6fd,8158.2167,4839.8333,27.0000,0.0000,1000.0000,9700.8167,167.9167,0.0,0.0000,0.0000,1000.0000
1782931911,2026-07-01T18:51:51Z,7cb694969dc5fbe58333d7e88429d6fd,8469.6333,5026.4667,29.0000,0.0000,1000.0000,10079.9167,174.5833,0.0,0.0000,0.0000,1000.0000
1782931916,2026-07-01T18:51:56Z,7cb694969dc5fbe58333d7e88429d6fd,8469.6333,5026.4667,29.0000,0.0000,1000.0000,10079.9167,174.5833,0.0,0.0000,0.0000,1000.0000
1782931922,2026-07-01T18:52:02Z,7cb694969dc5fbe58333d7e88429d6fd,8692.3833,5166.2667,29.0000,0.0000,1000.0000,10364.6500,181.4167,0.0,0.0000,0.0000,1000.0000
1782931927,2026-07-01T18:52:07Z,7cb694969dc5fbe58333d7e88429d6fd,8692.3833,5166.2667,29.0000,0.0000,1000.0000,10364.6500,181.4167,0.0,0.0000,0.0000,1000.0000
1782931933,2026-07-01T18:52:13Z,7cb694969dc5fbe58333d7e88429d6fd,8797.6167,5234.6000,29.0000,0.0000,1000.0000,10507.6333,184.1667,0.0,0.0000,0.0000,1000.0000
